agedays,param,sd.median
0,HEADCM,0.036394604
1,HEADCM,0.041974634
2,HEADCM,0.04569006
3,HEADCM,0.066150606
4,HEADCM,0.06903398
5,HEADCM,0.071903765
6,HEADCM,0.074760534
7,HEADCM,0.077604823
14,HEADCM,0.096738286
28,HEADCM,0.13441788
29,HEADCM,0.13710383
30,HEADCM,0.13978113
31,HEADCM,0.14245008
32,HEADCM,0.14511088
33,HEADCM,0.14776374
34,HEADCM,0.15040885
35,HEADCM,0.15304634
36,HEADCM,0.15567634
59,HEADCM,0.21535592
60,HEADCM,0.2178583
61,HEADCM,0.22035351
62,HEADCM,0.22284137
63,HEADCM,0.2253217
64,HEADCM,0.22779427
65,HEADCM,0.23025887
66,HEADCM,0.23271522
67,HEADCM,0.23074459
68,HEADCM,0.23281893
69,HEADCM,0.2348797
120,HEADCM,0.34550354
121,HEADCM,0.34682807
122,HEADCM,0.34817973
123,HEADCM,0.34955314
124,HEADCM,0.3509433
125,HEADCM,0.35248429
126,HEADCM,0.343229
127,HEADCM,0.34490958
128,HEADCM,0.3465893
129,HEADCM,0.34826779
130,HEADCM,0.34987515
131,HEADCM,0.3515496
132,HEADCM,0.35325423
133,HEADCM,0.35488513
134,HEADCM,0.35657853
183,HEADCM,0.43115965
184,HEADCM,0.43240127
185,HEADCM,0.43355617
186,HEADCM,0.43470728
187,HEADCM,0.43585321
188,HEADCM,0.4370738
189,HEADCM,0.43812177
190,HEADCM,0.43932334
191,HEADCM,0.44051382
192,HEADCM,0.44160509
193,HEADCM,0.44258815
194,HEADCM,0.44372883
195,HEADCM,0.44475573
196,HEADCM,0.43194693
197,HEADCM,0.43270001
198,HEADCM,0.43344608
199,HEADCM,0.43408513
200,HEADCM,0.43484348
201,HEADCM,0.43652356
202,HEADCM,0.43916565
203,HEADCM,0.44242975
204,HEADCM,0.44429228
205,HEADCM,0.44667369
206,HEADCM,0.45015177
207,HEADCM,0.44509855
208,HEADCM,0.44614828
209,HEADCM,0.45007375
210,HEADCM,0.45276046
211,HEADCM,0.45511314
212,HEADCM,0.45668253
213,HEADCM,0.45883024
274,HEADCM,0.50663716
275,HEADCM,0.50720197
276,HEADCM,0.50808001
277,HEADCM,0.50871527
278,HEADCM,0.5091508
279,HEADCM,0.51116294
280,HEADCM,0.51285744
281,HEADCM,0.51419467
282,HEADCM,0.51721191
283,HEADCM,0.51994228
284,HEADCM,0.52259523
285,HEADCM,0.52626568
286,HEADCM,0.52964848
287,HEADCM,0.5318917
288,HEADCM,0.53410429
289,HEADCM,0.5372144
290,HEADCM,0.53946978
291,HEADCM,0.54208499
292,HEADCM,0.54365009
293,HEADCM,0.54559827
294,HEADCM,0.5471611
295,HEADCM,0.54954731
296,HEADCM,0.55250788
297,HEADCM,0.55536824
298,HEADCM,0.55780369
299,HEADCM,0.55888575
300,HEADCM,0.56013703
301,HEADCM,0.56172752
302,HEADCM,0.56393266
303,HEADCM,0.56602484
304,HEADCM,0.56779373
366,HEADCM,0.59264493
