agedays,sex,cdc_wt_l,cdc_wt_m,cdc_wt_s,cdc_ht_l,cdc_ht_m,cdc_ht_s,cdc_hc_l,cdc_hc_m,cdc_hc_s,cdc_wt_csd_pos,cdc_wt_csd_neg,cdc_ht_csd_pos,cdc_ht_csd_neg,cdc_hc_csd_pos,cdc_hc_csd_neg,cdc_bmi_l,cdc_bmi_m,cdc_bmi_s,cdc_bmi_csd_pos,cdc_bmi_csd_neg
0,0,1.8151511,3.5302031,.15238528,1.2670043,49.988884,.05311219,4.427825,35.813667,.052172542,.48458016,.63267994,2.6192722,2.6948814,1.6038609,2.3395271,,,,,
0,1,1.5091875,3.3991864,.14210673,-1.2959609,49.286396,.050085559,-1.2987497,34.711563,.046905108,.45347011,.52706134,2.7912083,2.2150059,1.8260174,1.470314,,,,,
1,0,1.7975657,3.5612769,.15196735,1.217344,50.166763,.052821793,4.4201441,35.904343,.051849689,.48864126,.63351321,2.6209145,2.6819744,1.5997601,2.3253231,,,,,
1,1,1.4992496,3.4253609,.14184186,-1.2639798,49.443913,.04987089,-1.3080488,34.798492,.046648484,.45669377,.52904725,2.7813129,2.2165794,1.820282,1.4661541,,,,,
2,0,1.7799803,3.5923507,.15154943,1.1676837,50.344643,.052531395,4.4124627,35.995014,.051526841,.49269378,.63434017,2.6224003,2.669138,1.5955963,2.3111486,,,,,
2,1,1.4893116,3.4515352,.14157701,-1.2319988,49.601425,.04965622,-1.317348,34.885422,.04639186,.45991111,.53101635,2.7714424,2.2180748,1.8144894,1.4619579,,,,,
3,0,1.7623949,3.6234243,.15113151,1.1180235,50.522522,.052240994,4.4047813,36.08569,.051203988,.49673784,.63516033,2.6237335,2.6563663,1.5913677,2.2970009,,,,,
3,1,1.4793737,3.4777098,.14131215,-1.2000178,49.758942,.04944155,-1.3266472,34.972355,.046135236,.46312237,.53296876,2.7615986,2.219492,1.8086376,1.4577255,,,,,
4,0,1.7448094,3.6544981,.15071358,1.0683633,50.700397,.051950596,4.3971004,36.176365,.050881136,.50077319,.63597333,2.6249104,2.6436615,1.5870743,2.2828798,,,,,
4,1,1.4694357,3.5038841,.1410473,-1.1680368,49.916458,.04922688,-1.3359464,35.059284,.045878612,.46632707,.53490436,2.7517757,2.2208309,1.8027287,1.4534588,,,,,
5,0,1.727224,3.6855719,.15029566,1.0187031,50.878277,.051660199,4.3894191,36.267036,.050558284,.50479972,.63677883,2.6259289,2.6310177,1.5827179,2.2687836,,,,,
5,1,1.4594978,3.5300586,.14078243,-1.1360558,50.073971,.049012206,-1.3452456,35.146214,.045621984,.46952522,.53682363,2.7419777,2.2220898,1.7967606,1.4491558,,,,,
6,0,1.7096386,3.7166455,.14987774,.9690429,51.056156,.051369797,4.3817382,36.357712,.050235435,.50881708,.63757658,2.6267872,2.618433,1.5782967,2.2547131,,,,,
6,1,1.4495598,3.5562329,.14051758,-1.1040748,50.231487,.048797537,-1.3545448,35.233147,.04536536,.47271705,.53872645,2.7322006,2.2232685,1.7907352,1.4448166,,,,,
7,0,1.6920532,3.7477193,.14945982,.91938263,51.234035,.0510794,4.3740568,36.448383,.049912583,.51282549,.6383661,2.6274853,2.6059055,1.5738087,2.2406645,,,,,
7,1,1.4396218,3.5824075,.14025272,-1.0720938,50.389004,.048582867,-1.3638439,35.320076,.045108736,.47590232,.54061306,2.7224445,2.2243671,1.7846527,1.4404411,,,,,
8,0,1.6744678,3.7787929,.14904189,.86972243,51.411915,.050788999,4.3663759,36.539059,.049589731,.51682425,.63914716,2.6280212,2.5934315,1.5692577,2.2266388,,,,,
8,1,1.4296839,3.6085818,.13998786,-1.0401127,50.546516,.048368197,-1.3731431,35.407009,.044852111,.4790808,.54248333,2.7127075,2.2253857,1.778511,1.4360313,,,,,
9,0,1.6568824,3.8098667,.14862397,.82006222,51.58979,.050498601,4.3586946,36.629734,.049266879,.52081335,.63991976,2.6283932,2.5810089,1.56464,2.212635,,,,,
9,1,1.4197459,3.6347563,.139723,-1.0081317,50.704033,.048153527,-1.3824422,35.493938,.044595487,.48225296,.54433775,2.7029896,2.2263222,1.7723122,1.4315834,,,,,
10,0,1.639297,3.8409405,.14820606,.77040201,51.76767,.050208203,4.3510137,36.720406,.04894403,.52479291,.64068329,2.6285992,2.5686378,1.5599594,2.1986504,,,,,
