sex,tanner_months,min_ht_vel,ht_vel_5p,ht_vel_50p,ht_vel_95p,max_ht_vel
0,30,3.7,5.7,8.2,10.6,12.6
0,42,3.2,5.1,7.4,9.6,11.4
0,54,3,4.7,6.8,8.9,10.6
0,66,3,4.5,6.4,8.3,9.8
0,78,2.7,4.2,6,7.8,9.3
0,90,2.7,4.1,5.8,7.5,8.9
0,102,2.5,3.8,5.4,7,8.3
0,114,2.5,3.7,5.2,6.7,7.9
0,126,2.6,3.7,5.1,6.5,7.6
0,138,2.5,3.8,5.4,6.8,7.9
0,150,3.4,4.9,6.8,9,10.8
0,162,5.1,7.1,9.5,11.9,13.9
0,174,2,4,6.4,8.6,10.4
0,186,0,1.1,3.3,5.5,7.3
0,198,0,0.4,1.5,2.9,4
0,210,0,0,0.5,1.6,2.5
0,222,0,0,0.5,1.6,2.5
0,234,0,0,0.5,1.6,2.5
0,246,0,0,0.5,1.6,2.5
1,30,3.7,5.9,8.6,11.3,13.5
1,42,3.2,5.2,7.6,9.9,11.8
1,54,3.1,4.8,6.9,9,10.7
1,66,3,4.5,6.4,8.3,9.8
1,78,2.8,4.3,6.1,7.8,9.2
1,90,3.2,4.4,5.9,7.5,8.8
1,102,3,4.2,5.7,7.3,8.6
1,114,3.1,4.3,5.8,7.4,8.7
1,126,3.1,4.7,6.7,8.7,10.3
1,138,4.2,6.1,8.4,10.4,12
1,150,1.9,3.7,5.9,8,9.7
1,162,0,0.9,3,4.8,6.3
1,174,0,0,0.9,1.8,2.5
1,186,0,0,0.9,1.8,2.5
1,198,0,0,0.9,1.8,2.5
1,210,0,0,0.9,1.8,2.5
1,222,0,0,0.9,1.8,2.5
1,234,0,0,0.9,1.8,2.5
1,246,0,0,0.9,1.8,2.5
