sex,tanner_months,min_ht_vel_2sd,max_ht_vel_2sd
0,24,5.2,11.1
0,25,5.2,11.1
0,26,5.2,11.1
0,27,5.2,11.1
0,28,5.2,11.1
0,29,5.2,11.1
0,30,5.2,11.1
0,31,5.100000000000001,11
0,32,5.100000000000001,10.9
0,33,5,10.9
0,34,5,10.8
0,35,4.9,10.7
0,36,4.9,10.6
0,37,4.800000000000001,10.5
0,38,4.800000000000001,10.4
0,39,4.7,10.4
0,40,4.7,10.3
0,41,4.600000000000001,10.2
0,42,4.600000000000001,10.1
0,43,4.600000000000001,10
0,44,4.5,10
0,45,4.5,9.9
0,46,4.5,9.9
0,47,4.4,9.800000000000001
0,48,4.4,9.800000000000001
0,49,4.4,9.700000000000001
0,50,4.3,9.600000000000001
0,51,4.3,9.600000000000001
0,52,4.3,9.5
0,53,4.2,9.5
0,54,4.2,9.4
0,55,4.2,9.300000000000001
0,56,4.2,9.300000000000001
0,57,4.2,9.200000000000001
0,58,4.2,9.200000000000001
0,59,4.2,9.1
0,60,4.100000000000001,9
0,61,4.100000000000001,9
0,62,4.100000000000001,8.9
0,63,4.100000000000001,8.9
0,64,4.100000000000001,8.800000000000001
0,65,4.100000000000001,8.800000000000001
0,66,4.100000000000001,8.700000000000001
0,67,4.100000000000001,8.700000000000001
0,68,4,8.6
0,69,4,8.6
0,70,4,8.5
0,71,4,8.5
0,72,3.9,8.4
0,73,3.9,8.4
0,74,3.9,8.4
0,75,3.9,8.300000000000001
0,76,3.8,8.300000000000001
0,77,3.8,8.200000000000001
0,78,3.8,8.200000000000001
0,79,3.8,8.200000000000001
0,80,3.8,8.1
0,81,3.8,8.1
0,82,3.8,8.1
0,83,3.8,8.1
0,84,3.8,8
0,85,3.7,8
0,86,3.7,8
0,87,3.7,8
0,88,3.7,8
0,89,3.7,7.9
0,90,3.7,7.9
0,91,3.7,7.9
0,92,3.7,7.800000000000001
0,93,3.7,7.800000000000001
0,94,3.6,7.7
0,95,3.6,7.7
0,96,3.6,7.600000000000001
0,97,3.6,7.600000000000001
0,98,3.6,7.5
0,99,3.6,7.5
0,100,3.5,7.4
0,101,3.5,7.4
0,102,3.5,7.300000000000001
0,103,3.5,7.300000000000001
0,104,3.5,7.300000000000001
0,105,3.5,7.2
0,106,3.5,7.2
0,107,3.5,7.2
0,108,3.5,7.2
0,109,3.4,7.100000000000001
0,110,3.4,7.100000000000001
0,111,3.4,7.100000000000001
0,112,3.4,7.100000000000001
0,113,3.4,7
0,114,3.4,7
0,115,3.4,7
0,116,3.4,7
0,117,3.4,7
0,118,3.4,6.9
0,119,3.4,6.9
0,120,3.4,6.9
0,121,3.4,6.9
0,122,3.4,6.9
0,123,3.4,6.9
0,124,3.4,6.800000000000001
0,125,3.4,6.800000000000001
0,126,3.4,6.800000000000001
0,127,3.4,6.800000000000001
0,128,3.4,6.9
0,129,3.4,6.9
0,130,3.4,6.9
0,131,3.4,6.9
0,132,3.5,7
0,133,3.5,7
0,134,3.5,7
0,135,3.5,7
0,136,3.5,7
0,137,3.5,7.100000000000001
0,138,3.5,7.100000000000001
0,139,3.6,7.300000000000001
0,140,3.7,7.5
0,141,3.8,7.7
0,142,3.8,7.9
0,143,3.9,8.1
0,144,4,8.300000000000001
0,145,4.100000000000001,8.5
0,146,4.2,8.700000000000001
0,147,4.3,8.9
0,148,4.3,9.1
0,149,4.4,9.300000000000001
0,150,4.5,9.5
0,151,4.7,9.700000000000001
0,152,4.800000000000001,10
0,153,5,10.2
0,154,5.2,10.5
0,155,5.4,10.7
0,156,5.5,10.9
0,157,5.7,11.2
0,158,5.9,11.4
0,159,6.100000000000001,11.7
0,160,6.2,11.9
0,161,6.4,12.2
0,162,6.600000000000001,12.4
0,163,6.300000000000001,12.1
0,164,6.100000000000001,11.8
0,165,5.800000000000001,11.6
0,166,5.600000000000001,11.3
0,167,5.300000000000001,11
0,168,5,10.8
0,169,4.800000000000001,10.5
0,170,4.5,10.2
0,171,4.3,9.9
0,172,4,9.700000000000001
0,173,3.8,9.4
0,174,3.5,9.1
0,175,3.3,8.800000000000001
0,176,3,8.6
0,177,2.8,8.300000000000001
0,178,2.5,8.1
0,179,2.3,7.800000000000001
0,180,2.1,7.600000000000001
0,181,1.8,7.300000000000001
0,182,1.6,7
0,183,1.3,6.800000000000001
0,184,1.1,6.5
0,185,.8,6.300000000000001
0,186,.6000000000000001,6
0,187,.6000000000000001,5.800000000000001
0,188,.5,5.5
0,189,.5,5.300000000000001
0,190,.5,5.100000000000001
0,191,.4,4.800000000000001
0,192,.4,4.600000000000001
0,193,.4,4.4
0,194,.3,4.100000000000001
0,195,.3,3.9
0,196,.3,3.7
0,197,.2,3.4
0,198,.2,3.2
0,199,.2,3.1
0,200,.2,3
0,201,.2,2.9
0,202,.1,2.7
0,203,.1,2.6
0,204,.1,2.5
0,205,.1,2.4
0,206,.1,2.3
0,207,.1,2.1
0,208,0,2
0,209,0,1.9
0,210,0,1.8
0,211,0,1.8
0,212,0,1.8
0,213,0,1.8
0,214,0,1.8
0,215,0,1.8
0,216,0,1.8
0,217,0,1.8
0,218,0,1.8
0,219,0,1.8
0,220,0,1.8
0,221,0,1.8
0,222,0,1.8
0,223,0,1.8
0,224,0,1.8
0,225,0,1.8
0,226,0,1.8
0,227,0,1.8
0,228,0,1.8
0,229,0,1.8
0,230,0,1.8
0,231,0,1.8
0,232,0,1.8
0,233,0,1.8
0,234,0,1.8
0,235,0,1.8
0,236,0,1.8
0,237,0,1.8
0,238,0,1.8
0,239,0,1.8
0,240,0,1.8
0,241,0,1.8
0,242,0,1.8
0,243,0,1.8
0,244,0,1.8
0,245,0,1.8
0,246,0,1.8
1,24,5.300000000000001,11.9
1,25,5.300000000000001,11.9
1,26,5.300000000000001,11.9
1,27,5.300000000000001,11.9
1,28,5.300000000000001,11.9
1,29,5.300000000000001,11.9
1,30,5.300000000000001,11.9
1,31,5.300000000000001,11.8
1,32,5.2,11.6
1,33,5.2,11.5
1,34,5.100000000000001,11.4
1,35,5.100000000000001,11.3
1,36,5,11.1
1,37,4.9,11
1,38,4.9,10.9
1,39,4.800000000000001,10.8
1,40,4.800000000000001,10.6
1,41,4.7,10.5
1,42,4.7,10.4
1,43,4.7,10.3
1,44,4.600000000000001,10.2
1,45,4.600000000000001,10.2
1,46,4.600000000000001,10.1
1,47,4.5,10
1,48,4.5,9.9
1,49,4.5,9.9
1,50,4.4,9.800000000000001
1,51,4.4,9.700000000000001
1,52,4.4,9.600000000000001
1,53,4.3,9.600000000000001
1,54,4.3,9.5
1,55,4.3,9.4
1,56,4.3,9.4
1,57,4.3,9.300000000000001
1,58,4.2,9.200000000000001
1,59,4.2,9.200000000000001
1,60,4.2,9.1
1,61,4.2,9
1,62,4.2,9
1,63,4.100000000000001,8.9
1,64,4.100000000000001,8.800000000000001
1,65,4.100000000000001,8.800000000000001
1,66,4.100000000000001,8.700000000000001
1,67,4.100000000000001,8.700000000000001
1,68,4.100000000000001,8.6
1,69,4,8.6
1,70,4,8.5
1,71,4,8.5
1,72,4,8.4
1,73,4,8.4
1,74,4,8.4
1,75,4,8.300000000000001
1,76,3.9,8.300000000000001
1,77,3.9,8.200000000000001
1,78,3.9,8.200000000000001
1,79,3.9,8.200000000000001
1,80,3.9,8.1
1,81,4,8.1
1,82,4,8.1
1,83,4,8
1,84,4,8
1,85,4,8
1,86,4,7.9
1,87,4,7.9
1,88,4.100000000000001,7.9
1,89,4.100000000000001,7.800000000000001
1,90,4.100000000000001,7.800000000000001
1,91,4.100000000000001,7.800000000000001
1,92,4.100000000000001,7.800000000000001
1,93,4,7.800000000000001
1,94,4,7.7
1,95,4,7.7
1,96,4,7.7
1,97,4,7.7
1,98,4,7.7
1,99,4,7.600000000000001
1,100,3.9,7.600000000000001
1,101,3.9,7.600000000000001
1,102,3.9,7.600000000000001
1,103,3.9,7.600000000000001
1,104,3.9,7.600000000000001
1,105,3.9,7.600000000000001
1,106,3.9,7.600000000000001
1,107,3.9,7.600000000000001
1,108,4,7.600000000000001
1,109,4,7.7
1,110,4,7.7
1,111,4,7.7
1,112,4,7.7
1,113,4,7.7
1,114,4,7.7
1,115,4,7.800000000000001
1,116,4.100000000000001,7.9
1,117,4.100000000000001,8
1,118,4.100000000000001,8.200000000000001
1,119,4.100000000000001,8.300000000000001
1,120,4.2,8.4
1,121,4.2,8.5
1,122,4.2,8.6
1,123,4.2,8.800000000000001
1,124,4.3,8.9
1,125,4.3,9
1,126,4.3,9.1
1,127,4.4,9.200000000000001
1,128,4.5,9.4
1,129,4.600000000000001,9.5
1,130,4.7,9.700000000000001
1,131,4.800000000000001,9.800000000000001
1,132,5,10
1,133,5.100000000000001,10.1
1,134,5.2,10.2
1,135,5.300000000000001,10.4
1,136,5.4,10.5
1,137,5.5,10.7
1,138,5.600000000000001,10.8
1,139,5.4,10.6
1,140,5.2,10.4
1,141,5,10.2
1,142,4.800000000000001,10
1,143,4.600000000000001,9.800000000000001
1,144,4.4,9.700000000000001
1,145,4.2,9.5
1,146,4,9.300000000000001
1,147,3.8,9.1
1,148,3.6,8.9
1,149,3.4,8.700000000000001
1,150,3.2,8.5
1,151,3,8.200000000000001
1,152,2.7,7.9
1,153,2.5,7.7
1,154,2.3,7.4
1,155,2,7.100000000000001
1,156,1.8,6.800000000000001
1,157,1.6,6.600000000000001
1,158,1.3,6.300000000000001
1,159,1.1,6
1,160,.9,5.7
1,161,.6000000000000001,5.5
1,162,.4,5.2
1,163,.4,4.9
1,164,.3,4.7
1,165,.3,4.4
1,166,.3,4.100000000000001
1,167,.2,3.9
1,168,.2,3.6
1,169,.2,3.3
1,170,.1,3.1
1,171,.1,2.8
1,172,.1,2.5
1,173,0,2.3
1,174,0,2
1,175,0,2
1,176,0,2
1,177,0,2
1,178,0,2
1,179,0,2
1,180,0,2
1,181,0,2
1,182,0,2
1,183,0,2
1,184,0,2
1,185,0,2
1,186,0,2
1,187,0,2
1,188,0,2
1,189,0,2
1,190,0,2
1,191,0,2
1,192,0,2
1,193,0,2
1,194,0,2
1,195,0,2
1,196,0,2
1,197,0,2
1,198,0,2
1,199,0,2
1,200,0,2
1,201,0,2
1,202,0,2
1,203,0,2
1,204,0,2
1,205,0,2
1,206,0,2
1,207,0,2
1,208,0,2
1,209,0,2
1,210,0,2
1,211,0,2
1,212,0,2
1,213,0,2
1,214,0,2
1,215,0,2
1,216,0,2
1,217,0,2
1,218,0,2
1,219,0,2
1,220,0,2
1,221,0,2
1,222,0,2
1,223,0,2
1,224,0,2
1,225,0,2
1,226,0,2
1,227,0,2
1,228,0,2
1,229,0,2
1,230,0,2
1,231,0,2
1,232,0,2
1,233,0,2
1,234,0,2
1,235,0,2
1,236,0,2
1,237,0,2
1,238,0,2
1,239,0,2
1,240,0,2
1,241,0,2
1,242,0,2
1,243,0,2
1,244,0,2
1,245,0,2
1,246,0,2
