sex,whoagegrp_ht,max_whoinc_1_ht,max_whoinc_2_ht,max_whoinc_3_ht,max_whoinc_4_ht,max_whoinc_6_ht
0,0,11.9,11.9,15.4,18.2,22.7
0,1,10.0,10.0,13.2,15.6,19.6
0,2,8.5,8.5,11.2,13.2,17.0
0,3,7.4,7.4,9.7,11.4,15.0
0,4,6.5,6.5,8.6,10.1,13.5
0,5,5.9,5.9,7.9,9.3,12.6
0,6,5.5,5.5,7.4,8.8,11.9
0,7,5.4,5.4,7.1,8.4,11.3
0,8,5.2,5.2,6.8,8.1,10.9
0,9,5.1,5.1,6.7,7.9,10.5
0,10,4.9,4.9,6.5,7.6,10.2
0,11,4.8,4.8,6.4,7.4,9.9
0,12,4.8,4.8,6.3,7.2,9.6
0,13,4.7,4.7,6.1,7.0,9.4
0,14,4.6,4.6,6.0,6.9,9.2
0,15,4.5,4.5,5.9,6.8,9.0
0,16,4.5,4.5,5.8,6.6,8.8
0,17,4.4,4.4,5.7,6.5,8.6
0,18,4.4,4.4,5.7,6.4,8.4
0,19,4.4,4.4,5.6,6.3,7.0
0,20,4.3,4.3,5.6,6.2,7.0
0,21,4.3,4.3,5.5,6.2,7.0
0,22,4.3,4.3,5.5,6.2,7.0
0,23,4.3,4.3,5.5,6.2,7.0
0,24,6.7,6.7,6.7,6.7,6.7
0,25,6.6,6.6,6.6,6.6,6.6
0,26,6.5,6.5,6.5,6.5,6.5
0,27,6.4,6.4,6.4,6.4,6.4
0,28,6.3,6.3,6.3,6.3,6.3
0,29,6.3,6.3,6.3,6.3,6.3
0,30,6.2,6.2,6.2,6.2,6.2
0,31,5.8,5.8,5.8,5.8,5.8
0,32,5.8,5.8,5.8,5.8,5.8
0,33,5.8,5.8,5.8,5.8,5.8
0,34,5.8,5.8,5.8,5.8,5.8
0,35,5.7,5.7,5.7,5.7,5.7
0,36,5.7,5.7,5.7,5.7,5.7
0,37,5.7,5.7,5.7,5.7,5.7
0,38,5.6,5.6,5.6,5.6,5.6
0,39,5.6,5.6,5.6,5.6,5.6
0,40,5.6,5.6,5.6,5.6,5.6
0,41,5.6,5.6,5.6,5.6,5.6
0,42,5.5,5.5,5.5,5.5,5.5
0,43,5.5,5.5,5.5,5.5,5.5
0,44,5.5,5.5,5.5,5.5,5.5
0,45,5.5,5.5,5.5,5.5,5.5
0,46,5.4,5.4,5.4,5.4,5.4
0,47,5.4,5.4,5.4,5.4,5.4
0,48,5.4,5.4,5.4,5.4,5.4
0,49,5.3,5.3,5.3,5.3,5.3
0,50,5.3,5.3,5.3,5.3,5.3
0,51,5.3,5.3,5.3,5.3,5.3
0,52,5.2,5.2,5.2,5.2,5.2
0,53,5.2,5.2,5.2,5.2,5.2
0,54,5.2,5.2,5.2,5.2,5.2
0,55,5.1,5.1,5.1,5.1,5.1
0,56,5.1,5.1,5.1,5.1,5.1
0,57,5.0,5.0,5.0,5.0,5.0
0,58,5.0,5.0,5.0,5.0,5.0
0,59,5.0,5.0,5.0,5.0,5.0
0,60,5.0,5.0,5.0,5.0,5.0
0,61,4.9,4.9,4.9,4.9,4.9
0,62,4.9,4.9,4.9,4.9,4.9
0,63,4.9,4.9,4.9,4.9,4.9
0,64,4.9,4.9,4.9,4.9,4.9
0,65,4.8,4.8,4.8,4.8,4.8
0,66,4.8,4.8,4.8,4.8,4.8
0,67,4.7,4.7,4.7,4.7,4.7
0,68,4.7,4.7,4.7,4.7,4.7
0,69,4.7,4.7,4.7,4.7,4.7
0,70,4.7,4.7,4.7,4.7,4.7
0,71,4.7,4.7,4.7,4.7,4.7
0,72,4.7,4.7,4.7,4.7,4.7
0,73,4.6,4.6,4.6,4.6,4.6
0,74,4.6,4.6,4.6,4.6,4.6
0,75,4.6,4.6,4.6,4.6,4.6
0,76,4.6,4.6,4.6,4.6,4.6
0,77,4.6,4.6,4.6,4.6,4.6
0,78,4.6,4.6,4.6,4.6,4.6
0,79,4.6,4.6,4.6,4.6,4.6
0,80,4.6,4.6,4.6,4.6,4.6
0,81,4.6,4.6,4.6,4.6,4.6
0,82,4.5,4.5,4.5,4.5,4.5
0,83,4.5,4.5,4.5,4.5,4.5
0,84,4.5,4.5,4.5,4.5,4.5
0,85,4.5,4.5,4.5,4.5,4.5
0,86,4.5,4.5,4.5,4.5,4.5
0,87,4.5,4.5,4.5,4.5,4.5
0,88,4.5,4.5,4.5,4.5,4.5
0,89,4.5,4.5,4.5,4.5,4.5
0,90,4.5,4.5,4.5,4.5,4.5
0,91,4.1,4.1,4.1,4.1,4.1
0,92,4.1,4.1,4.1,4.1,4.1
0,93,4.1,4.1,4.1,4.1,4.1
0,94,4.1,4.1,4.1,4.1,4.1
0,95,4.1,4.1,4.1,4.1,4.1
0,96,4.1,4.1,4.1,4.1,4.1
1,0,11.3,11.3,14.4,17.3,21.6
1,1,9.3,9.3,12.4,14.7,18.6
1,2,7.9,7.9,10.6,12.4,16.2
1,3,7.0,7.0,9.2,11.0,14.5
1,4,6.2,6.2,8.3,10.0,13.3
1,5,5.7,5.7,7.8,9.3,12.5
1,6,5.5,5.5,7.4,8.9,11.9
1,7,5.4,5.4,7.1,8.6,11.5
1,8,5.2,5.2,6.9,8.3,11.2
1,9,5.0,5.0,6.7,8.1,10.9
1,10,4.9,4.9,6.5,7.9,10.6
1,11,4.8,4.8,6.4,7.7,10.4
1,12,4.7,4.7,6.3,7.5,10.2
1,13,4.6,4.6,6.2,7.4,10.0
1,14,4.6,4.6,6.2,7.2,9.8
1,15,4.6,4.6,6.1,7.1,9.6
1,16,4.5,4.5,6.0,6.8,9.4
1,17,4.5,4.5,5.9,6.7,9.1
1,18,4.4,4.4,5.8,6.5,8.9
1,19,4.3,4.3,5.7,6.4,7.0
1,20,4.3,4.3,5.6,5.6,7.0
1,21,4.2,4.2,5.5,5.6,7.0
1,22,4.2,4.2,5.5,5.6,7.0
1,23,4.2,4.2,5.5,5.6,7.0
1,24,7.0,7.0,7.0,7.0,7.0
1,25,6.9,6.9,6.9,6.9,6.9
1,26,6.8,6.8,6.8,6.8,6.8
1,27,6.7,6.7,6.7,6.7,6.7
1,28,6.6,6.6,6.6,6.6,6.6
1,29,6.5,6.5,6.5,6.5,6.5
1,30,6.5,6.5,6.5,6.5,6.5
1,31,6.2,6.2,6.2,6.2,6.2
1,32,6.2,6.2,6.2,6.2,6.2
1,33,6.1,6.1,6.1,6.1,6.1
1,34,6.1,6.1,6.1,6.1,6.1
1,35,6.0,6.0,6.0,6.0,6.0
1,36,6.0,6.0,6.0,6.0,6.0
1,37,5.9,5.9,5.9,5.9,5.9
1,38,5.9,5.9,5.9,5.9,5.9
1,39,5.8,5.8,5.8,5.8,5.8
1,40,5.8,5.8,5.8,5.8,5.8
1,41,5.7,5.7,5.7,5.7,5.7
1,42,5.7,5.7,5.7,5.7,5.7
1,43,5.5,5.5,5.5,5.5,5.5
1,44,5.5,5.5,5.5,5.5,5.5
1,45,5.5,5.5,5.5,5.5,5.5
1,46,5.4,5.4,5.4,5.4,5.4
1,47,5.4,5.4,5.4,5.4,5.4
1,48,5.4,5.4,5.4,5.4,5.4
1,49,5.3,5.3,5.3,5.3,5.3
1,50,5.3,5.3,5.3,5.3,5.3
1,51,5.2,5.2,5.2,5.2,5.2
1,52,5.2,5.2,5.2,5.2,5.2
1,53,5.2,5.2,5.2,5.2,5.2
1,54,5.1,5.1,5.1,5.1,5.1
1,55,5.0,5.0,5.0,5.0,5.0
1,56,5.0,5.0,5.0,5.0,5.0
1,57,5.0,5.0,5.0,5.0,5.0
1,58,5.0,5.0,5.0,5.0,5.0
1,59,4.9,4.9,4.9,4.9,4.9
1,60,4.9,4.9,4.9,4.9,4.9
1,61,4.9,4.9,4.9,4.9,4.9
1,62,4.9,4.9,4.9,4.9,4.9
1,63,4.8,4.8,4.8,4.8,4.8
1,64,4.8,4.8,4.8,4.8,4.8
1,65,4.8,4.8,4.8,4.8,4.8
1,66,4.8,4.8,4.8,4.8,4.8
1,67,4.7,4.7,4.7,4.7,4.7
1,68,4.7,4.7,4.7,4.7,4.7
1,69,4.6,4.6,4.6,4.6,4.6
1,70,4.6,4.6,4.6,4.6,4.6
1,71,4.6,4.6,4.6,4.6,4.6
1,72,4.6,4.6,4.6,4.6,4.6
1,73,4.6,4.6,4.6,4.6,4.6
1,74,4.6,4.6,4.6,4.6,4.6
1,75,4.6,4.6,4.6,4.6,4.6
1,76,4.6,4.6,4.6,4.6,4.6
1,77,4.5,4.5,4.5,4.5,4.5
1,78,4.5,4.5,4.5,4.5,4.5
1,79,4.5,4.5,4.5,4.5,4.5
1,80,4.5,4.5,4.5,4.5,4.5
1,81,4.5,4.5,4.5,4.5,4.5
1,82,4.5,4.5,4.5,4.5,4.5
1,83,4.5,4.5,4.5,4.5,4.5
1,84,4.5,4.5,4.5,4.5,4.5
1,85,4.5,4.5,4.5,4.5,4.5
1,86,4.5,4.5,4.5,4.5,4.5
1,87,4.5,4.5,4.5,4.5,4.5
1,88,4.5,4.5,4.5,4.5,4.5
1,89,4.5,4.5,4.5,4.5,4.5
1,90,4.5,4.5,4.5,4.5,4.5
1,91,4.4,4.4,4.4,4.4,4.4
1,92,4.4,4.4,4.4,4.4,4.4
1,93,4.4,4.4,4.4,4.4,4.4
1,94,4.4,4.4,4.4,4.4,4.4
1,95,4.4,4.4,4.4,4.4,4.4
1,96,4.4,4.4,4.4,4.4,4.4
