sex,whoagegrp_ht,whoinc_1_ht_2sd,whoinc_2_ht_2sd,whoinc_3_ht_2sd,whoinc_4_ht_2sd,whoinc_6_ht_2sd
0,0,1.6,6.2,8.9,11.1,14.3
0,1,1.3,5,7.1,8.7,11.5
0,2,0.9,3.7,5.3,6.7,9.3
0,3,0.7,2.6,4,5.3,7.7
0,4,0.5,1.9,3.2,4.4,6.7
0,5,0.4,1.5,2.8,3.9,6.1
0,6,0.3,1.3,2.5,3.6,5.7
0,7,0.3,1.2,2.3,3.4,5.4
0,8,0.3,1.1,2.1,3.2,5.2
0,9,0.3,1,2,3,5
0,10,0.2,0.9,1.9,2.9,4.8
0,11,0.2,0.8,1.8,2.7,4.6
0,12,0.2,0.7,1.7,2.6,4.5
0,13,0.2,0.7,1.5,2.5,4.3
0,14,0.2,0.6,1.4,2.4,4.1
0,15,0.1,0.5,1.3,2.3,4
0,16,0.1,0.4,1.2,2.2,3.9
0,17,0.1,0.4,1.2,2.1,3.7
0,18,0.1,0.3,1.1,2,3.6
0,19,0.1,0.3,1.1,1.9,3.5
0,20,0.1,0.2,1,1.8,3.4
0,21,0.1,0.2,0.9,1.7,3.3
0,22,0,0.1,0.8,1.6,3.2
0,23,0,0,0.7,1.5,3.1
0,24,0,0,0.6,1.4,3
1,0,1.6,5.7,8.2,10.3,13.3
1,1,1.3,4.5,6.5,8.1,11
1,2,0.9,3.3,5,6.4,9.1
1,3,0.7,2.5,3.9,5.3,7.8
1,4,0.5,1.9,3.2,4.5,7
1,5,0.4,1.5,2.8,4,6.4
1,6,0.3,1.3,2.5,3.8,6
1,7,0.3,1.2,2.4,3.6,5.7
1,8,0.3,1.1,2.3,3.4,5.4
1,9,0.3,11,2.1,3.2,5.2
1,10,0.2,1,2,3.1,5
1,11,0.2,0.9,1.9,2.9,4.8
1,12,0.2,0.8,1.8,2.8,4.6
1,13,0.2,0.7,1.7,2.7,4.4
1,14,0.2,0.7,1.6,2.6,4.3
1,15,0.1,0.6,1.5,2.5,4.1
1,16,0.1,0.5,1.4,2.4,4
1,17,0.1,0.4,1.3,2.3,3.8
1,18,0.1,0.4,1.2,2.2,3.7
1,19,0.1,0.3,1.2,2.1,3.6
1,20,0.1,0.3,1.1,2,3.5
1,21,0.1,0.2,1,1.9,3.4
1,22,0,0.2,0.9,1.8,3.3
1,23,0,0.1,0.8,1.7,3.2
1,24,0,0,0.7,1.6,3.1
